Scenario,Region,System,tickets_0_35_per_day,tickets_35_100_per_day,tickets_100_plus_per_day,Total,proof_url_1,proof_url_2,proof_url_3
Low,Global,Zammad,90000,37500,22500,150000,https://github.com/zammad/zammad,https://zammad.com/en/news/1-million-downloads,
Low,Global,osTicket,9000,3750,2250,15000,https://osticket.com/,https://github.com/osTicket/osTicket,
Low,Global,Request Tracker (RT),21000,8750,5250,35000,https://bestpractical.com/request-tracker/,https://github.com/bestpractical/rt,
Low,Global,Znuny (OTRS Fork),10200,4250,2550,17000,https://www.znuny.org/en,https://github.com/znuny/Znuny,
Low,Global,OTOBO (OTRS Fork),6000,2500,1500,10000,https://otobo.de/en/,https://hub.docker.com/r/rotheross/otobo,
Low,Global,KIX,600,250,150,1000,https://kix-service.com/en/customers,https://github.com/kix-service-software,
Low,Global,Other OS/Custom,223200,93000,55800,372000,,,
Low,Global,Commercial (Jira etc.),126000,52500,31500,210000,https://www.atlassian.com/software/jira/service-management,https://www.businessresearchinsights.com/market-reports/help-desk-software-market-100293,
Mid,Global,Zammad,90000,37500,22500,150000,https://github.com/zammad/zammad,https://zammad.com/en/news/1-million-downloads,
Mid,Global,osTicket,9000,3750,2250,15000,https://osticket.com/,https://github.com/osTicket/osTicket,
Mid,Global,Request Tracker (RT),21000,8750,5250,35000,https://bestpractical.com/request-tracker/,https://github.com/bestpractical/rt,
Mid,Global,Znuny (OTRS Fork),10200,4250,2550,17000,https://www.znuny.org/en,https://github.com/znuny/Znuny,
Mid,Global,OTOBO (OTRS Fork),6000,2500,1500,10000,https://otobo.de/en/,https://hub.docker.com/r/rotheross/otobo,
Mid,Global,KIX,600,250,150,1000,https://kix-service.com/en/customers,https://github.com/kix-service-software,
Mid,Global,Other OS/Custom,223200,93000,55800,372000,,,
Mid,Global,Commercial (Jira etc.),178002,74168,44501,296671,https://www.fortunebusinessinsights.com/it-service-management-itsm-market-102830,https://www.atlassian.com/software/jira/service-management,
High,Global,Zammad,90000,37500,22500,150000,https://github.com/zammad/zammad,https://zammad.com/en/news/1-million-downloads,
High,Global,osTicket,9000,3750,2250,15000,https://osticket.com/,https://github.com/osTicket/osTicket,
High,Global,Request Tracker (RT),21000,8750,5250,35000,https://bestpractical.com/request-tracker/,https://github.com/bestpractical/rt,
High,Global,Znuny (OTRS Fork),10200,4250,2550,17000,https://www.znuny.org/en,https://github.com/znuny/Znuny,
High,Global,OTOBO (OTRS Fork),6000,2500,1500,10000,https://otobo.de/en/,https://hub.docker.com/r/rotheross/otobo,
High,Global,KIX,600,250,150,1000,https://kix-service.com/en/customers,https://github.com/kix-service-software,
High,Global,Other OS/Custom,223200,93000,55800,372000,,,
High,Global,Commercial (Jira etc.),279600,116500,69900,466000,https://www.dataintelo.com/report/help-desk-software-market,https://www.atlassian.com/software/jira/service-management,
Low,DACH,Zammad,22950,9563,5737,38250,https://zammad.com/de/news/zendis-opendesk-und-opencode,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Low,DACH,osTicket,1275,531,319,2125,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,,
Low,DACH,Request Tracker (RT),2975,1240,744,4959,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,,
Low,DACH,Znuny (OTRS Fork),3876,1615,969,6460,https://www.znuny.org/de,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Low,DACH,OTOBO (OTRS Fork),2550,1063,637,4250,https://otobo.de/case-studies/,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Low,DACH,KIX,383,159,96,638,https://kix-service.com/de/kunden,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Low,DACH,Other OS/Custom,31483,13118,7871,52472,,,
Low,DACH,Commercial (Jira etc.),17130,7138,4282,28550,https://www.kbvresearch.com/germany-it-service-management-market/,,
Mid,DACH,Zammad,26325,10969,6581,43875,https://zammad.com/de/news/zendis-opendesk-und-opencode,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Mid,DACH,osTicket,1463,609,366,2438,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,,
Mid,DACH,Request Tracker (RT),3413,1422,853,5688,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,,
Mid,DACH,Znuny (OTRS Fork),4973,2072,1243,8288,https://www.znuny.org/de,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Mid,DACH,OTOBO (OTRS Fork),2925,1219,731,4875,https://otobo.de/case-studies/,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Mid,DACH,KIX,439,183,110,732,https://kix-service.com/de/kunden,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
Mid,DACH,Other OS/Custom,43290,18038,10822,72150,,,
Mid,DACH,Commercial (Jira etc.),22071,9196,5518,36785,https://www.kbvresearch.com/germany-it-service-management-market/,,
High,DACH,Zammad,30360,12650,7590,50600,https://zammad.com/de/news/zendis-opendesk-und-opencode,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
High,DACH,osTicket,1650,688,412,2750,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,,
High,DACH,Request Tracker (RT),3850,1604,963,6417,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,,
High,DACH,Znuny (OTRS Fork),5610,2338,1402,9350,https://www.znuny.org/de,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
High,DACH,OTOBO (OTRS Fork),3300,1375,825,5500,https://otobo.de/case-studies/,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
High,DACH,KIX,495,206,124,825,https://kix-service.com/de/kunden,https://www.pwc.ch/en/insights/digital/cloud-business-survey.html,
High,DACH,Other OS/Custom,48048,20020,12012,80080,,,
High,DACH,Commercial (Jira etc.),28380,11825,7095,47300,https://www.kbvresearch.com/germany-it-service-management-market/,,
